"id","score","title","content","channel_id","store_name","store_detail","author","author_link","author_at","capture_img","usable","created_at","updated_at","is_insulting","is_defamatory","post_reply_ai_recommend_id","post_reply_id","store_channel_id","active_tags","treatment","enhanced_content","keywords","message_id","can_reply"
NAVER_MAP_68a2d06380cd3d9661fa71e8,-8,"","진짜 여기 왜 영업하는지 모르겠어요. 평생 다녀본 치과 중 최악입니다.일단 들어가자마자 대기실 의자에 먼지 쌓여있는거 보고 충격받았어요. 치과가 이렇게 지저분해도 되나 싶었는데, 진료실 들어가니 더 가관이더라구요. 기구 소독했는지도 의심스럽고 바닥에 뭔가 떨어져 있는데 아무도 안 치워요.스케일링 하러 갔는데 엑스레이 찍더니 갑자기 충치 8개라면서 당장 다 치료해야 한다고 겁주더라구요? 제가 6개월 전에 다른 치과에서 검진받았을 땐 아무 이상 없다고 했거든요. 믿을 수가 없어서 다른 치과 가봐도 되냐니까 직원이 대놓고 짜증내면서 '그럼 다른 데 가세요'라고 하는데 진짜 어이가 없었어요.원장이라는 사람은 설명도 제대로 안 하고 그냥 '이거 안하면 큰일나요' 이 말만 반복하고, 간호사들은 환자 앞에서 수근수근 거리면서 낄낄대고... 진짜 의료진 맞나 싶을 정도였어요.결국 그냥 나왔는데 접수대 직원이 '치료 안하고 가시면 나중에 후회하실텐데~' 이러는거 보고 진짜 소름돋았어요. 장사하는 것도 정도가 있지...여기 절대 가지마세요. 시간, 돈, 정신건강 다 날립니다.",NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,singungi78,https://m.place.naver.com/my/5c4fb24f8dec2614e36c86cd/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=68a2d06380cd3d9661fa71e8&v=2,2025-08-18 09:00:00.000 +0900,"",true,2025-08-19 00:00:09.523 +0900,2025-08-19 10:47:25.325 +0900,false,false,152131,,597,{},,,{},,true
NAVER_MAP_68a2f936da48ffe36a1fec2f,8,"",의서선생님 간호사분들 모두 넘 친철합니다 신경치료라 마니 아플줄알았는데 하나도 안아프게 잘해주시네요 ~^^,NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,"822 한우리",https://m.place.naver.com/my/5b9b8a50fc2ddb0f167e3f6c/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=68a2f936da48ffe36a1fec2f&v=2,2025-08-18 09:00:00.000 +0900,"",true,2025-08-19 00:00:09.502 +0900,2025-08-19 10:47:34.137 +0900,false,false,152132,323922,597,{},,,{},,true
NAVER_MAP_68a2c9483208711432d80baa,10,"","저의 치아 상태에 맞춰 꼼꼼하게 스케일링을 진행해 주셨고, 전문적인 진료를 받는 것 같았습니다. 과잉 진료가 없고 친절한 설명 덕분에 치료 효과도 좋습니다. 앞으로도 관리를 잘 하겠습니다^^",NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,미래상인35,https://m.place.naver.com/my/5c9b7c1d3c7a6269e89b891c/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=68a2c9483208711432d80baa&v=2,2025-08-18 09:00:00.000 +0900,"",true,2025-08-19 00:00:09.547 +0900,2025-08-19 10:47:16.238 +0900,false,false,152130,323920,597,{},,,{},,true
NAVER_MAP_689d74e4e216f83a756409b5,9,"","타치과에서 발치가 필요하다고 들어서 걱정했었는데, 내이튼치과의원에서 신경치료를 통해 발치 없이 잘 치료해주셔서 정말 만족했습니다. 치료도 아프지 않았고, 의사 선생님께서 친절하게 설명해주셔서 안심할 수 있었습니다.",NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,nkb****,https://m.place.naver.com/my/61ade89aedc82600063f9cc1/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=689d74e4e216f83a756409b5&v=2,2025-08-14 09:00:00.000 +0900,"",true,2025-08-15 00:00:14.495 +0900,2025-08-15 11:21:37.813 +0900,false,false,152105,321802,597,{},,,{},,true
NAVER_MAP_689c43dbba6517ed6e68c322,10,"","윤민정 원장님께 충치 크라운 치료 받았습니다! 추천도 받고 리뷰도 좋아서 방문했는데 너무 만족합니다 !! 직원분들도 친절하시지만 원장님께서도 항상 밝게 인사해주셔서 더 좋았어요🤍 성인이지만,, 충치 치료 마취할때가 가장 아프고 긴장되는데 마취 주사 놓으실 때 느낌이 거의 안나서 놀랐어요 찾아보니까 무통주사랑 통증 완화 시스템을 도입하셨다고 적혀있었네요 ㅎㅎ 치료 받는 동안 정말 하나도 안아팠어요 너무 추천합니당",NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,Sol216,https://m.place.naver.com/my/5e2abd918f87a842bcd8c6d9/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=689c43dbba6517ed6e68c322&v=2,2025-08-13 09:00:00.000 +0900,"",true,2025-08-14 00:00:07.743 +0900,2025-08-14 11:40:34.769 +0900,false,false,152097,320561,597,{},,,{},,true
NAVER_MAP_689acb246aebcabdb604cb26,10,"","원장님의 설명이 정말 명쾌하고 친절했습니다. 과잉 진료 없이 치료가 진행되어 가족 모두가 편안하게 다니고 있어요.치료도 아프지 않게 잘 받았고, 매우 만족스럽습니다.",NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,lov****,https://m.place.naver.com/my/5ccd1c2da326bd22fbdd1a92/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=689acb246aebcabdb604cb26&v=2,2025-08-12 09:00:00.000 +0900,"",true,2025-08-14 00:00:07.716 +0900,2025-08-14 11:41:01.995 +0900,false,false,152098,320563,597,{},,,{},,true
KAKAO_MAP_13444476,8,"",환자가 많은시간에도 예약시간 정확히 지켜주셔서 대기시간 짧고 친절하고 상세하게 설명해주시고 치료는 전문적이라서 맏음이가는 치과입니다.,KAKAO_MAP,내이튼치과의원,경기 화성시 오산동 1019,H .K. KIM,https://place.map.kakao.com/1417935752,2025-08-12 04:35:01.000 +0900,"",true,2025-08-12 18:00:06.189 +0900,2025-08-14 11:41:07.805 +0900,false,false,152099,,598,{},,,{},,true
NAVER_MAP_6899c6b2bc30ec099cf5302a,8,"",진료대기 없이 빠르고 친절하고 설명도 치료도전문적입니다.,NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,어 프리지아,https://m.place.naver.com/my/5dae88828f87a842bcaeda73/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=6899c6b2bc30ec099cf5302a&v=2,2025-08-11 09:00:00.000 +0900,"",true,2025-08-12 00:00:17.712 +0900,2025-08-12 11:04:34.882 +0900,false,false,152049,318851,597,{},,,{},,true
NAVER_MAP_689948297ad4bf923b154d64,9,"","신경치료를 받으며 치료 방법에 대한 자세한 설명을 해주셨고, 세심한 치료 덕분에 매우 만족스러웠습니다. 전문적인 치료와 친절한 서비스가 인상 깊었습니다.",NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,쏭8376,https://m.place.naver.com/my/5ed28afb8f87a842bc842ee1/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=689948297ad4bf923b154d64&v=2,2025-08-11 09:00:00.000 +0900,"",true,2025-08-12 00:00:17.735 +0900,2025-08-12 11:04:25.172 +0900,false,false,152048,318850,597,{},,,{},,true
NAVER_MAP_6896a492f37e085118e9404d,10,"","아주 좋았습니다! 인레이 치료가 정말 만족스러웠고, 스케일링 과정에서도 친절하게 설명해 주셔서 편안했습니다. 진료가 꼼꼼하게 진행되어 신뢰가 갔습니다. 주차도 편리해서 방문하기 좋았습니다.",NAVER_MAP,내이튼치과의원,경기도 화성시 오산동,zibra98,https://m.place.naver.com/my/5ed88c8b8f87a842bc1d649c/reviewfeed?sort=VISIT_DATE_TIME_DESC&mediaFilter=ALL&reviewId=6896a492f37e085118e9404d&v=2,2025-08-09 09:00:00.000 +0900,"",true,2025-08-10 00:00:15.608 +0900,2025-08-10 11:00:35.901 +0900,false,false,152034,318007,597,{},,,{},,true
